key,input_height,input_width,output_height,output_width,size_group,psnr,ssim,inference_time_ms
000966,128,128,256,256,128x128_to_256x256,26.86699967148983,0.7807629305552161,0.13140000010025688
000978,128,128,256,256,128x128_to_256x256,20.76928003086046,0.24442295243588394,0.17529999968246557
000984,128,128,256,256,128x128_to_256x256,10.232663231283329,0.26158471592041505,0.13210000179242343
000986,128,128,256,256,128x128_to_256x256,20.16424683299573,0.3764524792856091,0.12849999984609894
000987,128,128,256,256,128x128_to_256x256,23.106794648264888,0.628733144833521,0.12989999959245324
000995,128,128,256,256,128x128_to_256x256,23.693257742799368,0.3040228844759236,0.1329000006080605
000998,128,128,256,256,128x128_to_256x256,24.869968173340524,0.7252203269757072,0.13450000005832408
001007,128,128,256,256,128x128_to_256x256,25.89759580149405,0.5825875296829546,0.1384999995934777
001013,128,128,256,256,128x128_to_256x256,20.316784429641686,0.2571011316521151,0.13749999925494194
001022,128,128,256,256,128x128_to_256x256,24.63105117821896,0.702778955306933,0.13610000132757705
001023,128,128,256,256,128x128_to_256x256,25.641439236527322,0.764431479621457,0.13030000081926119
001028,128,128,256,256,128x128_to_256x256,23.659142527141285,0.6161407482847068,0.12910000077681616
001039,128,128,256,256,128x128_to_256x256,21.039637760640776,0.4568857157990404,0.14629999895987567
001041,128,128,256,256,128x128_to_256x256,19.869981150572848,0.7570042299190818,0.1429999992978992
001042,128,128,256,256,128x128_to_256x256,20.575722551896867,0.7866517174711751,0.1322999996773433
001046,128,128,256,256,128x128_to_256x256,23.23172975183971,0.4523178081255597,0.14910000027157366
001051,128,128,256,256,128x128_to_256x256,21.940197491938584,0.32083382392272886,0.1292000015382655
001056,128,128,256,256,128x128_to_256x256,21.54324622600552,0.6487356107155587,0.14379999993252568
001058,128,128,256,256,128x128_to_256x256,20.198900774081288,0.6016975593144783,0.15640000128769316
001065,128,128,256,256,128x128_to_256x256,22.77850714521388,0.2807854039077334,0.13500000022759195
001081,128,128,256,256,128x128_to_256x256,22.932133388635066,0.2872646265764206,0.14210000153980218
001089,128,128,256,256,128x128_to_256x256,22.695791055559997,0.5856021632867853,0.1401999998051906
001092,128,128,256,256,128x128_to_256x256,21.914014872781383,0.6721971206368585,0.12860000060754828
001099,128,128,256,256,128x128_to_256x256,24.84731926854581,0.7421122866712082,0.16759999925852753
001114,128,128,256,256,128x128_to_256x256,24.540159529506358,0.5859905098320567,0.16140000116138253
001117,128,128,256,256,128x128_to_256x256,21.357138254884056,0.327383787666135,0.13790000048174988
001123,128,128,256,256,128x128_to_256x256,24.071368327255946,0.7603129528058041,0.15299999904527795
001127,128,128,256,256,128x128_to_256x256,23.920077647726185,0.6321322296877829,0.13040000158071052
001137,128,128,256,256,128x128_to_256x256,23.106129663576517,0.5960027299999506,0.1388000000588363
001146,128,128,256,256,128x128_to_256x256,20.481492628352772,0.503311400319745,0.1297999988310039
001158,128,128,256,256,128x128_to_256x256,24.488109351614185,0.4400390162330249,0.1370999998471234
001161,128,128,256,256,128x128_to_256x256,22.386003151682637,0.333606851801511,0.1339999998890562
001173,128,128,256,256,128x128_to_256x256,20.599052898201936,0.27753120216254934,0.1339999998890562
001181,128,128,256,256,128x128_to_256x256,22.448231429400227,0.5863053549986366,0.13209999997343402
001182,128,128,256,256,128x128_to_256x256,23.135321945141015,0.6315596593497309,0.15549999989161734
001186,128,128,256,256,128x128_to_256x256,24.72858300066745,0.7132382309116626,0.13219999891589396
001194,128,128,256,256,128x128_to_256x256,19.358359043392987,0.1339762616911569,0.14270000065153
001199,128,128,256,256,128x128_to_256x256,26.003735173320344,0.39672970490296416,0.13799999942420982
001210,128,128,256,256,128x128_to_256x256,21.064033914965478,0.6113254816785451,0.1312000003963476
001211,128,128,256,256,128x128_to_256x256,21.466926514813466,0.6182907938205996,0.12440000136848539
001214,128,128,256,256,128x128_to_256x256,18.854251712931735,0.6156864405838974,0.13529999887396116
001219,128,128,256,256,128x128_to_256x256,26.43481783947548,0.7706190957295009,0.1336999994236976
001238,128,128,256,256,128x128_to_256x256,29.00805643611387,0.8257352944729328,0.2942000010079937
001240,128,128,256,256,128x128_to_256x256,20.986541578616702,0.3888101007397206,0.18959999943035655
001245,128,128,256,256,128x128_to_256x256,25.604530133881674,0.7386191435656538,0.15589999929943588
001252,128,128,256,256,128x128_to_256x256,24.686333048197383,0.6583915363164619,0.13389999912760686
001253,128,128,256,256,128x128_to_256x256,23.06346529630936,0.4715880166645912,0.16990000040095765
001259,128,128,256,256,128x128_to_256x256,22.403724788222878,0.17826516812796891,0.13860000035492703
001275,128,128,256,256,128x128_to_256x256,26.13922290446955,0.800023350977953,0.139899999339832
001278,128,128,256,256,128x128_to_256x256,21.4997424016404,0.5010991473723555,0.14960000044084154
001279,128,128,256,256,128x128_to_256x256,21.380519376664367,0.4934958654551146,0.12930000048072543
001281,128,128,256,256,128x128_to_256x256,21.721800234459035,0.4935553364704498,0.3540999987308169
001286,128,128,256,256,128x128_to_256x256,18.047372956326665,0.34930008690231534,0.1511999998911051
001287,128,128,256,256,128x128_to_256x256,17.81328113651801,0.333435328164743,0.13609999950858764
001294,128,128,256,256,128x128_to_256x256,28.620296971117686,0.7009165845652041,0.14290000035543926
001296,128,128,256,256,128x128_to_256x256,22.037322435371603,0.4421252637309027,0.1390999987052055
001307,128,128,256,256,128x128_to_256x256,18.536077730134878,0.3374135465287687,0.14150000060908496
001308,128,128,256,256,128x128_to_256x256,24.32414697498436,0.8606481278654486,0.1260999997612089
001315,128,128,256,256,128x128_to_256x256,18.195416960475335,0.5775543701626265,0.12790000073437113
001316,128,128,256,256,128x128_to_256x256,20.171085745231203,0.2466385666457871,0.16649999997753184
001317,128,128,256,256,128x128_to_256x256,22.793751288552752,0.423648433995784,0.15150000035646372
001324,128,128,256,256,128x128_to_256x256,20.301638472573238,0.12331036917018608,0.13829999988956843
001349,128,128,256,256,128x128_to_256x256,21.396474564286102,0.17177504487970507,0.13810000018565916
001351,128,128,256,256,128x128_to_256x256,21.45751975696652,0.17679716010130098,0.1343000003544148
001353,128,128,256,256,128x128_to_256x256,24.058449182881525,0.44875654854825925,0.139899999339832
001356,128,128,256,256,128x128_to_256x256,22.12959402047281,0.6794641311186133,0.14589999955205712
001362,128,128,256,256,128x128_to_256x256,19.932347469533937,0.28026180104218446,0.130899999930989
001363,128,128,256,256,128x128_to_256x256,21.211217589414666,0.34744924002246835,0.12830000014218967
001365,128,128,256,256,128x128_to_256x256,20.19746981898297,0.21117240597413917,0.12299999980314169
001371,128,128,256,256,128x128_to_256x256,21.144275971879757,0.625816573779132,0.1635999997233739
001377,128,128,256,256,128x128_to_256x256,21.26708990493523,0.4698366199505212,0.12369999967631884
001383,128,128,256,256,128x128_to_256x256,22.68754638372476,0.6985808109618626,0.13899999976274557
001393,128,128,256,256,128x128_to_256x256,21.444824919128646,0.3178567015628191,0.176199999259552
001394,128,128,256,256,128x128_to_256x256,22.628791009511914,0.3676488751904953,0.16219999997701962
001396,128,128,256,256,128x128_to_256x256,20.257782359077314,0.4126488052515902,0.15589999929943588
001402,128,128,256,256,128x128_to_256x256,22.867462346497483,0.32482592631700535,0.14840000039839651
001408,128,128,256,256,128x128_to_256x256,29.17473749922936,0.8486765161278252,0.13050000052317046
001409,128,128,256,256,128x128_to_256x256,29.760833760362956,0.7982696994730308,0.1511999998911051
